id,city,country,population
3472,Pitesti,Romania,155383
3473,Poblacion,Philippines,153197
3474,Hanam,South Korea,154838
3475,Capas,Philippines,156056
3476,Ghorahi,Nepal,156164
3477,Vidisha,India,155959
3478,Cam Pha,Vietnam,156000
3479,Esmeraldas,Ecuador,154035
3480,Ar Ramtha,Jordan,155693
3481,Kariya,Japan,153178
3482,Lake Charles,United States,156181
3483,Odessa,United States,155998
3484,Cagliari,Italy,154106
3485,Zaanstad,Netherlands,154037
3486,Hitachi-Naka,Japan,154311
3487,Ordu,Turkey,155117
3488,Nalgonda,India,154326
3489,Timon,Brazil,155460
3490,Tuscaloosa,United States,155499
3491,Palo Negro,Venezuela,153706
3492,Souk Ahras,Algeria,155259
3493,Horad Barysaw,Belarus,155389
3494,Colima,Mexico,150673
3495,Neuss,Germany,153796
3496,Oxford,United Kingdom,152000
3497,Caxias,Brazil,155129
3498,Warner Robins,United States,155140
3499,Palmdale,United States,155079
3500,Hoofddorp,Netherlands,154235
3501,San Juan,Philippines,126347
3502,Melitopol,Ukraine,154992
3503,Zango,Nigeria,154743
3504,Kafr ash Shaykh,Egypt,147393
3505,Balurghat,India,153279
3506,Hollywood,United States,154817
3507,Madinat as Sadis min Uktubar,Egypt,154093
3508,Midland,United States,154793
3509,Dibrugarh,India,154019
3510,Veraval,India,153696
3511,Alagoinhas,Brazil,154495
3512,Mahajanga,Madagascar,154657
3513,Salavat,Russia,153181
3514,Gandajika,Congo (Kinshasa),154425
3515,Leesburg,United States,154574
3516,Regensburg,Germany,152610
3517,Port Arthur,United States,154468
3518,Almetyevsk,Russia,154262
3519,Lucapa,Angola,154305
3520,Tama,Japan,147252
3521,Seogwipo,South Korea,153861
3522,Tochigi,Japan,153508
3523,Moanda,Congo (Kinshasa),153915
3524,Barreiras,Brazil,153918
3525,Tete,Mozambique,152909
3526,Fyzabad,India,153047
3527,Noda,Japan,152227
3528,Kanasin,Mexico,139753
3529,Ixtlahuaca,Mexico,153184
3530,Hoeryong,North Korea,153532
3531,San Jose,Philippines,153267
3532,Newcastle,Australia,152984
3533,Muskegon,United States,153565
3534,Sievierodonetsk,Ukraine,150000
3535,Sinpo,North Korea,152759
3536,Dutse,Nigeria,153000
3537,Silchar,India,152393
3538,Minglanilla,Philippines,151002
3539,Ueda,Japan,152948
3540,Macon,United States,153159
3541,Dahuaishu,China,151037
3542,Shantipur,India,151777
3543,Moriguchi,Japan,141849
3544,Kansas City,United States,152960
3545,Yilan,Taiwan,150000
3546,Siem Reap,Cambodia,147866
3547,Golmeh,Iran,152894
3548,Fengyicun,China,150138
3549,Hindupur,India,151677
3550,Kawashiri,Japan,152076
3551,Pocos de Caldas,Brazil,152435
3552,Logrono,Spain,150808
3553,Sunnyvale,United States,152703
3554,Peristeri,Greece,139981
3555,Baubau,Indonesia,152143
3556,Mudon,Myanmar,152300
3557,Taza,Morocco,148456
3558,Erode,India,151184
3559,Gwangyang,South Korea,151834
3560,Beawar,India,151472
3561,Abaetetuba,Brazil,151934
3562,Kukichuo,Japan,150197
3563,Consolacion,Philippines,148012
3564,Gonbad-e Kavus,Iran,151910
3565,Al Manaqil,Sudan,151827
3566,Tororo,Uganda,150000
3567,Miass,Russia,151856
3568,Mzuzu,Malawi,150100
3569,Delicias,Mexico,150506
3570,Nakhodka,Russia,151420
3571,Quevedo,Ecuador,150827
3572,Asaka,Japan,143915
3573,San Jose,Philippines,150917
3574,Pomona,United States,151691
3575,Cao Lanh,Vietnam,149837
3576,Foggia,Italy,151372
3577,Escondido,United States,151625
3578,Vryheid,South Africa,150012
3579,Riobamba,Ecuador,146324
3580,As Suwayhirah as Sahil,Oman,151349
3581,Paderborn,Germany,150580
3582,Sayama,Japan,148324
3583,Miskolc,Hungary,150695
3584,Florencio Varela,Argentina,146704
3585,Manzanillo,Cuba,150999
3586,Pasadena,United States,151227
3587,Talcahuano,Chile,147831
3588,Kerch,Ukraine,149566
3589,M'Sila,Algeria,150000
3590,Patos de Minas,Brazil,150833
3591,Mariveles,Philippines,149879
3592,Copiapo,Chile,150804
3593,Kragujevac,Serbia,150623
3594,Badajoz,Spain,150610
3595,Nimes,France,149633
3596,Sumbawanga,Tanzania,147483
3597,Araguaina,Brazil,150484
3598,Rimini,Italy,149403
3599,Ocumare del Tuy,Venezuela,150000
3600,Mallawi,Egypt,139929
3601,Komaki,Japan,147897
3602,Valdivia,Chile,150048
3603,Valle de Santiago,Mexico,150054
3604,Toda,Japan,142352
3605,Clermont-Ferrand,France,146734
3606,Gulu,Uganda,146858
3607,Pointe-a-Pitre,Guadeloupe,145511
3608,Shahrud,Iran,150129
3609,Kutaisi,Georgia,147900
3610,Kashikishi,Zambia,150000
3611,Penjamo,Mexico,149936
3612,Odivelas,Portugal,144549
3613,New Bedford,United States,149910
3614,Saumlaki,Indonesia,149790
3615,Gloucester,United Kingdom,145563
3616,Potchefstroom,South Africa,148804
3617,Imabari,Japan,149209
3618,Arnhem,Netherlands,148070
3619,Abbottabad,Pakistan,148587
3620,Concordia,Argentina,149450
3621,West Bromwich,United Kingdom,146386
3622,Centro Habana,Cuba,140234
3623,Sagay,Philippines,148894
3624,Marbella,Spain,147958
3625,Lang Son,Vietnam,148000
3626,Santiago,Philippines,148580
3627,Iruma,Japan,145778
3628,Dongsheng,China,147228
3629,Marvdasht,Iran,148858
3630,`Ajlun,Jordan,148870
3631,Chingola,Zambia,147448
3632,Mauli,India,146213
3633,Fairfield,United States,148683
3634,Habra,India,147221
3635,Mostaganem,Algeria,145696
3636,Sibiu,Romania,147245
3637,Pemba,Mozambique,141316
3638,Naperville,United States,148449
3639,Quilpue,Chile,147991
3640,Yonago,Japan,147210
3641,Dundee,United Kingdom,148280
3642,Disuq,Egypt,143404
3643,Kopeysk,Russia,147573
3644,Bellevue,United States,148164
3645,Binghamton,United States,148145
3646,Salamanca,Spain,143269
3647,Mbanza Kongo,Angola,148000
3648,Nchelenge,Zambia,147927
3649,Ambala,India,146787
3650,Turbat,Pakistan,147791
3651,Mati,Philippines,147547
3652,Mangghystau,Kazakhstan,147443
3653,Malakal,South Sudan,147450
3654,Bacau,Romania,144307
3655,Osorno,Chile,147460
3656,Elkhart,United States,147567
3657,Topeka,United States,147458
3658,Man,Côte d'Ivoire,146974
3659,Mogi Guacu,Brazil,147233
3660,Joliet,United States,147344
3661,Pyatigorsk,Russia,145836
3662,Moshi,Tanzania,144739
3663,Bizerte,Tunisia,142966
3664,Dar`a,Syria,146481
3665,Cairns,Australia,146778
3666,Rubtsovsk,Russia,145333
3667,Poole,United Kingdom,144800
3668,Negombo,Sri Lanka,142136
3669,Gisenyi,Rwanda,136830
3670,Cam Ranh,Vietnam,146771
3671,Wamba,Congo (Kinshasa),146871
3672,Odintsovo,Russia,146574
3673,Dadu,Pakistan,146179
3674,Franco da Rocha,Brazil,145755
3675,Misato,Japan,141913
3676,Pleiku,Vietnam,146073
3677,Etah,India,145601
3678,Keren,Eritrea,146500
3679,Newport,United Kingdom,145700
3680,Calapan,Philippines,145786
3681,Colina,Chile,146207
3682,Kolomna,Russia,144125
3683,Mejicanos,El Salvador,140751
3684,Larisa,Greece,144651
3685,Yima,China,144779
3686,Santo Agostinho,Brazil,146219
3687,Beaumont,United States,146091
3688,Parnaiba,Brazil,145705
3689,Garcia,Mexico,145867
3690,Urdaneta,Philippines,144577
3691,Le Mans,France,143252
3692,Barrechid,Morocco,136634
3693,Arayat,Philippines,144875
3694,Settat,Morocco,142250
3695,Khairpur Mir's,Pakistan,144949
3696,Bocaue,Philippines,141412
3697,Bani,Dominican Republic,145595
3698,Xintang,China,144537
3699,Matanzas,Cuba,145246
3700,David,Panama,144858
3701,San Justo,Argentina,136604
3702,Quchan,Iran,145531
3703,Berezniki,Russia,145115
3704,Porto Seguro,Brazil,145431
3705,Shillong,India,143229
3706,Cape Coast,Ghana,143015
3707,Villa de Cura,Venezuela,145098
3708,Kusatsu,Japan,143230
3709,Kakamigahara,Japan,143641
3710,Paterson,United States,145233
3711,Merced,United States,145149
3712,Kolar,India,144625
3713,Al Mukalla,Yemen,144137
3714,Flores,Guatemala,144932
3715,Comayagua,Honduras,144785
3716,Dongxing,China,144709
3717,Okinawa,Japan,142094
3718,Barranca,Peru,144381
3719,Khasavyurt,Russia,141259
3720,Saguenay,Canada,144746
3721,Cuautitlan Izcalli,Mexico,140059
3722,Kumba,Cameroon,144268
3723,Ruse,Bulgaria,143931
3724,Cekme,Turkey,142546
3725,Malasiqui,Philippines,143094
3726,Bharatpur,Nepal,143836
3727,Florencia,Colombia,143871
3728,Pueblo,United States,143932
3729,Aix-en-Provence,France,143097
3730,Coimbra,Portugal,143396
3731,Ajdabiya,Libya,143833
3732,Calabayan,Philippines,143403
3733,Tyler,United States,143796
3734,Nawabganj,Bangladesh,142361
3735,Ciego de Avila,Cuba,143449
3736,Birkenhead,United Kingdom,142968
3737,Altay,China,142000
3738,Ashikaga,Japan,142882
3739,Ghazni,Afghanistan,143379
3740,El Progreso,Honduras,143360
3741,Torrance,United States,143592
3742,Bilbays,Egypt,141285
3743,Huelva,Spain,142538
3744,Jau,Brazil,143283
3745,Levis,Canada,143414
3746,Bhimavaram,India,142184
3747,Jaragua do Sul,Brazil,143123
3748,Jinjiang,China,142948
3749,Blackpool,United Kingdom,139305
3750,Los Angeles,Chile,143023
3751,Boca Chica,Dominican Republic,142019
3752,Telford,United Kingdom,142723
3753,Yuma,United States,142847
3754,Preston,United Kingdom,141801
3755,Lichinga,Mozambique,142253
3756,Moundou,Chad,142462
3757,Tetovo,Macedonia,142030
3758,Bahawalnagar,Pakistan,141935
3759,Maykop,Russia,141970
3760,Brest,France,139602
3761,Kamalshahr,Iran,141166
3762,Fukayacho,Japan,141336
3763,Lausanne,Switzerland,138905
3764,Gweru,Zimbabwe,141260
3765,Tabaco,Philippines,140961
3766,Kelowna,Canada,142146
3767,Metairie,United States,142135
3768,Namacunde,Angola,142047
3769,Irakleio,Greece,140730
3770,Mandsaur,India,141667
3771,Rybnik,Poland,141000
3772,Nong'an,China,141482
3773,Inezgane,Morocco,130333
3774,Rio das Ostras,Brazil,141117
3775,Vlore,Albania,130827
3776,Boulogne-Billancourt,France,121334
3777,Fujita,Japan,140947
3778,Jahrom,Iran,141634
3779,Surprise,United States,141664
3780,Columbia,United States,141645
3781,Athens,United States,141532
3782,Roseville,United States,141500
3783,Thornton,United States,141464
3784,Middlesbrough,United Kingdom,140545
3785,Khuzdar,Pakistan,141395
3786,Tepatitlan de Morelos,Mexico,141322
3787,Abbotsford,Canada,141397
3788,Batu Pahat,Malaysia,140000
3789,Ruda Slaska,Poland,139412
3790,Porac,Philippines,140751
3791,Miramar,United States,141191
3792,Ozamiz City,Philippines,140334
3793,Pecs,Hungary,140237
3794,Pasadena,United States,141029
3795,Kumbakonam,India,139264
3796,Kovrov,Russia,138552
3797,Shizhaobi,China,140493
3798,Mesquite,United States,140937
3799,Kokubunji,Japan,129619
3800,Lleida,Spain,140080
3801,Ebina,Japan,135557
3802,Paranagua,Brazil,140469
3803,Iguala de la Independencia,Mexico,140363
3804,Olathe,United States,140545
3805,Santa Maria,United States,140545
3806,Masaya,Nicaragua,139582
3807,Medea,Algeria,138355
3808,Yaritagua,Venezuela,140256
3809,Houma,United States,140469
3810,Tours,France,136463
3811,Fusagasuga,Colombia,139805
3812,La Romana,Dominican Republic,139671
3813,Tanay,Philippines,139420
3814,Ituzaingo,Argentina,135275
3815,Al `Aqabah,Jordan,140000
3816,Torbat-e Heydariyeh,Iran,140019
3817,Momostenango,Guatemala,139552
3818,Dawei,Myanmar,139900
3819,Zielona Gora,Poland,139330
3820,Kuwana,Japan,138798
3821,Atbara,Sudan,139768
3822,Pakpattan,Pakistan,139525
3823,Chicacole,India,137944
3824,Pabna,Bangladesh,137888
3825,Botucatu,Brazil,139483
3826,Mino,Japan,136976
3827,Shizuishan,China,136570
3828,La Trinidad,Philippines,137404
3829,Koga,Japan,138237
3830,Tan An,Vietnam,137498
3831,Sale,United Kingdom,134022
3832,Coquitlam,Canada,139284
3833,Carrollton,United States,139248
3834,San Jose del Cabo,Mexico,136285
3835,Ishizaki,Japan,138856
3836,Grand Junction,United States,139143
3837,Kokshetau,Kazakhstan,139063
3838,Al Khmissat,Morocco,131542
3839,Bat Yam,Israel,128800
3840,Candelaria,Philippines,137881
3841,Tsuchiura,Japan,137825
3842,Tiruvannamalai,India,138243
3843,Piranshahr,Iran,138864
3844,Umtata,South Africa,137772
3845,Dipolog,Philippines,138141
3846,Charleston,United States,138706
3847,Orange,United States,138669
3848,Fullerton,United States,138632
3849,Sancti Spiritus,Cuba,138504
3850,Koganei,Japan,127226
3851,Tultepec,Mexico,131567
3852,Jolo,Philippines,137266
3853,Zama,Japan,130753
3854,Shunan,Japan,137899
3855,Dumaguete City,Philippines,134103
3856,Mojokerto,Indonesia,130196
3857,Darwin,Australia,136828
3858,Ingolstadt,Germany,136981
3859,Mandya,India,137358
3860,Greeley,United States,137810
3861,Ch'ungmu,South Korea,137208
3862,Tarragona,Spain,135436
3863,Birganj,Nepal,135904
3864,Palhoca,Brazil,137334
3865,Lira,Uganda,135445
3866,Carcar,Philippines,136453
3867,Negage,Angola,137559
3868,Gunungsitoli,Indonesia,137104
3869,Yunxian Chengguanzhen,China,133558
3870,Atibaia,Brazil,137187
3871,Jyvaskyla,Finland,137368
3872,Bankura,India,137386
3873,Kigoma,Tanzania,135234
3874,Vila Franca de Xira,Portugal,136886
3875,Quillacollo,Bolivia,137182
3876,Garanhuns,Brazil,136949
3877,Livingstone,Zambia,136897
3878,Bima,Indonesia,136492
3879,Dos Hermanas,Spain,136250
3880,Kisarazu,Japan,136118
3881,Parla,Spain,131689
3882,Curico,Chile,136954
3883,Porto Amboim,Angola,137000
3884,Nasugbu,Philippines,136524
3885,Gingoog,Philippines,136698
3886,Maia,Portugal,135306
3887,Uppsala,Sweden,133117
3888,Yaizu,Japan,136028
3889,Carolina,Puerto Rico,136771
3890,Marivan,Iran,136654
3891,Santa Tecla,El Salvador,135483
3892,Inazawa,Japan,134938
3893,Stara Zagora,Bulgaria,136475
3894,Amiens,France,133891
3895,Chech'on,South Korea,136350
3896,Norzagaray,Philippines,136064
3897,Jinotega,Nicaragua,136342
3898,Tiraspol,Moldova,133807
3899,Pageralam,Indonesia,136244
3900,Tizi Ouzou,Algeria,135088
3901,Ksar El Kebir,Morocco,126617
3902,Termiz,Uzbekistan,136200
3903,Floridablanca,Philippines,135542
3904,Targu-Mures,Romania,134290
3905,Las Cruces,United States,136254
3906,'s-Hertogenbosch,Netherlands,134520
3907,Salerno,Italy,133970
3908,Rionegro,Colombia,135465
3909,Panama City,United States,136133
3910,Blitar,Indonesia,132018
3911,Harlingen,United States,136037
3912,Toowoomba,Australia,135631
3913,Chiang Mai,Thailand,132634
3914,Brighton,United Kingdom,134293
3915,Tobruk,Libya,135832
3916,Tauranga,New Zealand,135000
3917,Pyay,Myanmar,135308
3918,Ramapo,United States,135560
3919,Shuangcheng,China,130710
3920,Angono,Philippines,130494
3921,Cartago,Colombia,134827
3922,Urganch,Uzbekistan,135100
3923,May Pen,Jamaica,135142
3924,Zafarwal,Pakistan,134275
3925,West Valley City,United States,135248
3926,Andimeshk,Iran,135116
3927,Santa Rita,Brazil,134940
3928,Daraga,Philippines,133893
3929,Milagro,Ecuador,133508
3930,Nakhon Ratchasima,Thailand,134440
3931,El Oued,Algeria,134699
3932,Ashqelon,Israel,134454
3933,Mataro,Spain,129120
3934,Teofilo Otoni,Brazil,134745
3935,Hagonoy,Philippines,133448
3936,Laghouat,Algeria,134372
3937,Moron,Mongolia,134530
3938,Shahreza,Iran,134592
3939,Zabol,Iran,134590
3940,Apatzingan de la Constitucion,Mexico,128250
3941,Hampton,United States,134510
3942,Famalicao,Portugal,133832
3943,Naga,Philippines,133184
3944,Trois-Rivieres,Canada,134413
3945,Torrejon de Ardoz,Spain,132771
3946,Zhangmu Touwei,China,132816
3947,Londuimbali,Angola,134254
3948,Rehovot,Israel,132671
3949,Batticaloa,Sri Lanka,129222
3950,Tabora,Tanzania,127880
3951,Navoiy,Uzbekistan,134100
3952,Tando Allahyar,Pakistan,133487
3953,Idfu,Egypt,133772
3954,Segou,Mali,133501
3955,Warren,United States,133943
3956,Isahaya,Japan,133512
3957,Mauldin,United States,133872
3958,Bloomington,United States,133846
3959,Jiangshan,China,133600
3960,Apopa,El Salvador,131286
3961,Coral Springs,United States,133759
3962,Innsbruck,Austria,132493
3963,Battambang,Cambodia,130000
3964,Ome,Japan,132436
3965,Jijel,Algeria,131513
3966,Matagalpa,Nicaragua,133416
3967,Gondia,India,132821
3968,Gyor,Hungary,132735
3969,Hassan,India,133436
3970,Pitalito,Colombia,133205
3971,Round Rock,United States,133372
3972,Abiko,Japan,130290
3973,Talavera,Philippines,132338
3974,Yakima,United States,133191
3975,Khorramshahr,Iran,133097
3976,Limoges,France,131479
3977,Crato,Brazil,133031
3978,Tra Vinh,Vietnam,131360
3979,Ouargla,Algeria,133024
3980,Sinop,Brazil,132934
3981,San Carlos,Philippines,132650
3982,Ninh Binh,Vietnam,130517
3983,Kamez,Albania,126777
3984,Cameta,Brazil,132515
3985,Ibarra,Ecuador,131856
3986,Jaramana,Syria,114363
3987,San Luis,Guatemala,132470
3988,Sterling Heights,United States,132438
3989,Stavanger,Norway,129300
3990,Kent,United States,132319
3991,Ferrara,Italy,132278
3992,San Juan,Dominican Republic,132177
3993,Calabozo,Venezuela,131989
3994,Pilibhit,India,131008
3995,Chicomba,Angola,131807
3996,Palghat,India,130955
3997,Guelph,Canada,131794
3998,Buea,Cameroon,131325
3999,Los Guayos,Venezuela,130345
4000,Nanqiaotou,China,130370
4001,Ji-Parana,Brazil,131560
4002,Rijeka,Croatia,128624
4003,Guagua,Philippines,128893
4004,Palakollu,India,129717
4005,Spanish Town,Jamaica,131056
4006,Parepare,Indonesia,129542
4007,Surat Thani,Thailand,130703
4008,Narita,Japan,130689
4009,Relizane,Algeria,130094
4010,Kayseri,Turkey,126653
4011,Silay,Philippines,130478
4012,Burlington,United States,131043
4013,Nueva Concepcion,Guatemala,130754
4014,City of Isabela,Philippines,130379
4015,Abohar,India,130603
4016,Tychy,Poland,129322
4017,Marand,Iran,130825
4018,Kanchrapara,India,129576
4019,Quibdo,Colombia,130825
4020,Girardot,Colombia,129834
4021,Pouso Alegre,Brazil,130615
4022,Rustavi,Georgia,128680
4023,Cholula de Rivadabia,Mexico,129032
4024,Bellingham,United States,130641
4025,Onomichi,Japan,130143
4026,Kislovodsk,Russia,128779
4027,Udon Thani,Thailand,130274
4028,Jiroft,Iran,130429
4029,Santa Clara,United States,130365
4030,Vitoria de Santo Antao,Brazil,129974
4031,Leiden,Netherlands,124899
4032,Huejutla de Reyes,Mexico,129919
4033,Zhaozhou,China,127545
4034,Sannar,Sudan,130122
4035,Lucheng,China,130142
4036,Racine,United States,130142
4037,Greenville,United States,130118
4038,Hanumangarh,India,129654
4039,Annecy,France,128199
4040,Saida,Algeria,128413
4041,Esteli,Nicaragua,129924
4042,Taldyqorghan,Kazakhstan,129960
4043,Cambridge,Canada,129920
4044,Fengcheng,China,128571
4045,Baidoa,Somalia,129839
4046,Furth,Germany,127748
4047,Serpukhov,Russia,125817
4048,Mit Ghamr,Egypt,121039
4049,Stamford,United States,129638
4050,Villa Alemana,Chile,125140
4051,Cienaga,Colombia,129414
4052,Tariba,Venezuela,128590
4053,Chinguar,Angola,129370
4054,Wurzburg,Germany,127880
4055,Mansa,Zambia,129185
4056,Songnim,North Korea,128831
4057,Santo Tomas,Philippines,128667
4058,Vasteras,Sweden,128534
4059,Elizabeth,United States,129216
4060,Opole,Poland,127792
4061,Novocheboksarsk,Russia,126626
4062,Araras,Brazil,128895
4063,Jaranwala,Pakistan,127973
4064,Puno,Peru,128637
4065,Koforidua,Ghana,127334
4066,Ahmadpur East,Pakistan,128112
4067,Rosario,Philippines,128352
4068,Salto,Uruguay,124878
4069,Vihari,Pakistan,128034
4070,Kamina,Congo (Kinshasa),128803
4071,Temperley,Argentina,121451
4072,Baigou,China,124274
4073,Tukuyu,Tanzania,127570
4074,Shiyan,China,122802
4075,Ban Bang Pu Mai,Thailand,120058
4076,Iwakuni,Japan,128401
4077,Seto,Japan,127327
4078,Drohobych,Ukraine,124269
4079,Bataysk,Russia,126769
4080,Whitby,Canada,128377
4081,Zoetermeer,Netherlands,124994
4082,Pinsk,Belarus,125900
4083,Sakaka,Saudi Arabia,128332
4084,My Tho,Vietnam,124143
4085,Tumen,China,128212
4086,Ramos Mejia,Argentina,120346
4087,Al Hasakah,Syria,128100
4088,Hathras,India,126882
4089,Guimba,Philippines,127653
4090,Miramar,Mexico,118614
4091,La Granja,Chile,116571
4092,Al Hajar al Aswad,Syria,101827
4093,Guasdualito,Venezuela,128025
4094,Domodedovo,Russia,127850
4095,Shashemene,Ethiopia,114350
4096,Darnah,Libya,127974
4097,Kadoma,Japan,118319
4098,Salmas,Iran,127864
4099,Cubatao,Brazil,127006
4100,Jazan,Saudi Arabia,127743
4101,Marica,Brazil,127461
4102,Orebro,Sweden,126009
4103,Kaspiysk,Russia,123988
4104,Heilbronn,Germany,126458
4105,Neftekamsk,Russia,126805
4106,Omiyacho,Japan,127252
4107,Johnson City,United States,127571
4108,Mediouna,Morocco,122851
4109,Ulm,Germany,126405
4110,Bajos de Haina,Dominican Republic,124193
4111,Bam,Iran,127396
4112,Tay Ninh,Vietnam,126370
4113,High Wycombe,United Kingdom,120256
4114,Monza,Italy,123598
4115,Pforzheim,Germany,126016
4116,Osaki,Japan,127135
4117,Balneario de Camboriu,Brazil,124557
4118,Santana de Parnaiba,Brazil,126574
4119,Nefteyugansk,Russia,127255
4120,Payakumbuh,Indonesia,125608
4121,Pakokku,Myanmar,126938
4122,Angren,Uzbekistan,126962
4123,Basirhat,India,125254
4124,Duitama,Colombia,126670
4125,Leiria,Portugal,126897
4126,Larache,Morocco,125008
4127,Navadwip,India,125543
4128,Latina,Italy,126470
4129,Cambridge,United Kingdom,123867
4130,San Fernando,Philippines,125640
4131,Exeter,United Kingdom,124180
4132,Lynchburg,United States,126814
4133,Pangkalpinang,Indonesia,125933
4134,Santa Cruz,Philippines,123574
4135,Guntakal,India,126270
4136,Iizuka,Japan,126136
4137,Sabara,Brazil,126269
4138,Catabola,Angola,126631
4139,Simi Valley,United States,126589
4140,Barbacena,Brazil,126284
4141,Colchester,United Kingdom,121859
4142,Halisahar,India,124939
4143,Matamoros,Mexico,118337
4144,Rishra,India,124577
4145,Magway,Myanmar,125973
4146,Malanje,Angola,125856
4147,Magelang,Indonesia,124912
4148,Jizhou,China,124716
4149,Kampong Cham,Cambodia,118242
4150,Gashua,Nigeria,125817
4151,Zwolle,Netherlands,124914
4152,Shchelkovo,Russia,125634
4153,Novomoskovsk,Russia,125647
4154,Santa Lucia Cotzumalguapa,Guatemala,125473
4155,Cam Ranh,Vietnam,125311
4156,Kumbo,Cameroon,125486
4157,Giugliano in Campania,Italy,124361
4158,Cagua,Venezuela,122571
4159,Jandira,Brazil,118832
4160,Amatitlan,Guatemala,125000
4161,Gateshead,United Kingdom,120046
4162,Pakxe,Laos,119848
4163,Aalborg,Denmark,122219
4164,Bonao,Dominican Republic,125338
4165,Honcho,Japan,116477
4166,Amherst,United States,125509
4167,Magalang,Philippines,124188
4168,Uruguaiana,Brazil,125435
4169,Porlamar,Venezuela,120924
4170,Fort Smith,United States,125354
4171,Resende,Brazil,125214
4172,Daitocho,Japan,118799
4173,Leon,Spain,122051
4174,Jirja,Egypt,102597
4175,Fugu,China,124002
4176,Kenosha,United States,124972
4177,Ouahigouya,Burkina Faso,124580
4178,Duma,Syria,123494
4179,Norman,United States,124880
4180,Zhaxi,China,124458
4181,Villa de Alvarez,Mexico,117600
4182,Setubal,Portugal,123684
4183,Zahle,Lebanon,100000
4184,Gexianzhuang,China,122917
4185,Gorzow Wielkopolski,Poland,123341
4186,Wolfsburg,Germany,124151
4187,Savannakhet,Laos,124000
4188,South Lyon,United States,124694
4189,Gyumri,Armenia,121976
4190,Pervouralsk,Russia,124447
4191,New Mirpur,Pakistan,124352
4192,Brits,South Africa,122497
4193,Noksan,South Korea,124246
4194,San Pedro Garza Garcia,Mexico,122659
4195,Algeciras,Spain,122982
4196,Boulder,United States,124345
4197,Bimbo,Central African Republic,124176
4198,Baia Mare,Romania,123738
4199,Matsubara,Japan,117186
4200,Khrustalnyi,Ukraine,124000
4201,Cherkessk,Russia,122395
4202,Indramayu,Indonesia,123263
4203,Rudnyy,Kazakhstan,124000
4204,Anderlecht,Belgium,117412
4205,Bergamo,Italy,120923
4206,Kirishima,Japan,123812
4207,Gapan,Philippines,122968
4208,Magangue,Colombia,123906
4209,Maicao,Colombia,123757
4210,Delgado,El Salvador,120200
4211,Uruma,Japan,122371
4212,Hoi An,Vietnam,121716
4213,Derbent,Russia,123720
4214,Melipilla,Chile,123627
4215,Cadiz,Spain,114244
4216,Pati,Indonesia,122785
4217,Maastricht,Netherlands,121565
4218,Longtian,China,123469
4219,Munuf,Egypt,117240
4220,Gagnoa,Côte d'Ivoire,123184
4221,Abilene,United States,123420
4222,Punta Arenas,Chile,123403
4223,Varginha,Brazil,123081
4224,Lehigh Acres,United States,123378
4225,Dabrowa Gornicza,Poland,122712
4226,Munch'on,North Korea,122934
4227,Zacatecas,Mexico,122889
4228,Kaya,Burkina Faso,122949
4229,Alberton,South Africa,121536
4230,Montreuil,France,109914
4231,Ise,Japan,122432
4232,Lianhe,China,121367
4233,Braganca,Brazil,122881
4234,Bayawan,Philippines,122747
4235,Barretos,Brazil,119243
4236,Kahta,Turkey,122774
4237,Las Margaritas,Mexico,122821
4238,Blackburn,United Kingdom,117963
4239,Machiques,Venezuela,122734
4240,Ciudad Hidalgo,Mexico,122619
4241,Slough,United Kingdom,119070
4242,Jalapa,Guatemala,122483
4243,Pescara,Italy,119217
4244,Guelma,Algeria,120004
4245,Behbahan,Iran,122604
4246,Baidyabati,India,121110
4247,Kotamobagu,Indonesia,120597
4248,Xiangcheng,China,121959
4249,Pearland,United States,122460
4250,Mufulira,Zambia,122336
4251,Maina,Guam,122411
4252,Dharmavaram,India,121874
4253,Edea,Cameroon,122300
4254,Honmachi,Japan,122134
4255,Khenifra,Morocco,117510
4256,Ciudad Ojeda,Venezuela,122124
4257,Fier,Albania,120655
4258,Kamalia,Pakistan,121401
4259,Ghazipur,India,121020
4260,Orekhovo-Zuyevo,Russia,118822
4261,Hoa Binh,Vietnam,121309
4262,Chinandega,Nicaragua,121793
4263,Puruliya,India,121067
4264,Kashiwara,Japan,121604
4265,Urasoe,Japan,115855
4266,Dorud,Iran,121608
4267,Guarapari,Brazil,121506
4268,Ribeirao Pires,Brazil,120396
4269,Ondjiva,Angola,121537
4270,Port-de-Paix,Haiti,121220
4271,Shuixi,China,119517
4272,Wuling,China,121110
4273,Tsuruoka,Japan,121371
4274,Upington,South Africa,121189
4275,Berkeley,United States,121363
4276,Plock,Poland,120000
4277,Richardson,United States,121323
4278,Redding,United States,121313
4279,Arvada,United States,121272
4280,Tabuk,Philippines,121033
4281,Apartado,Colombia,121003
4282,East Los Angeles,United States,121187
4283,Siracusa,Italy,121171
4284,Saint-Denis,France,112091
4285,Apucarana,Brazil,120919
4286,Valinhos,Brazil,120258
4287,Chilapa de Alvarez,Mexico,120790
4288,Cachoeirinha,Brazil,118278
4289,Guelmim,Morocco,118318
4290,Navojoa,Mexico,120926
4291,Perpignan,France,119188
4292,Kot Addu,Pakistan,120479
4293,St. George,United States,120899
4294,Gottingen,Germany,119801
4295,Billings,United States,120728
4296,Catchiungo,Angola,120677
4297,Barcelos,Portugal,120391
4298,Kallithea,Greece,100641
4299,Tizayuca,Mexico,119442
